Name,,Language Code,Region,Desktop keyboard,Code,,Web keyboard,Code,FinalCode,Notes
Inuvialuktun,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ikt-inu,ikt-inu,Arctic,,,*,fv_inuvialuktun_kmw.kmn,,ikt,
Kiputtijjut | ᑭᐳᑦᑎᔾᔪᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_pirurvik-1.1.js,,ike,
Qaliujaaqpait | ᖃᓕᐅᔮᖅᐸᐃᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_latin-1.1.js,,ike,
Qaniujaaqpait | ᖃᓂᐅᔮᖅᐸᐃᑦ,http://pirurvik.ca/,ike,Arctic,,,*,inuktitut_naqittaut-1.3.js,,ike,
Uummarmiutun,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ikt-uum,ikt-uum,Arctic,,,*,fv_uummarmiutun_kmw.kmn,,ikt,
ᐃᓄᒃᑎᑐᑦ,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ike,ike,Arctic,,,*,fv_eastern_canadian_inuktitut_kmw.kmn,,ike,
Mi'gmawi'simg / Mi'kmawi'simk,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.mic,mic,Atlantic,fv_migmaq.kmn,,,fv_migmaq_kmw.kmn,,mic,Is this correct?; Missing ethnologuecodes
Skicinuwatuwewakon,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.pqm,pqm,Atlantic,,,*,fv_skicinuwatuwewakon_kmw.kmn,,pqm,
'Uwik̓ala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.Hei-uwi,Hei-uwi,BC Coast,fv_uwikala.kmn,,,fv_uwikala_kmw.kmn,,hei,Missing ethnologuecodes
Dəxʷləšucid,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.lut,lut,BC Coast,,,*,fv_dexwlesucid_kmw.kmn,,lut,
Diidiitidq,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.noo-dii,noo-dii,BC Coast,fv_diitiidatx.kmn,noo,,fv_diitiidatx_kmw.kmn,noo,noo,
Gitsenimx̱,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.git,git,BC Coast,fv_gitsenimx.kmn,git,,fv_gitsenimx_kmw.kmn,git,git,Missing ethnologuecodes
Haiɫzaqvla,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hei-hai,hei-hai,BC Coast,,,*,fv_hailzaqvla_kmw.kmn,,hei,
Halq'eméylem,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hal,hur-hal,BC Coast,fv_halqemeylem.kmn,hur,,fv_halqemeylem_kmw.kmn,hur,hur,
Hǝn̓q̓ǝmin̓ǝm,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hen,hur-hen,BC Coast,fv_henqeminem.kmn,,,fv_henqeminem_kmw.kmn,,hur,Missing ethnologuecodes
Homalco-Klahoose-Sliammon,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.coo,coo,BC Coast,,,,fv_klahoose_kmw.kmn,coo-k,coo,Desktop keyboard missing (has a _kmw.kps…); invalid ethnologuecode
Hul’q’umi’num’,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hur-hul,hur-hul,BC Coast,,,*,fv_hulquminum_kmw.kmn,,hur,
Kʷak̓ʷala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kwk-ame,kwk-ame,BC Coast,fv_kwakwala_liqwala.kmn,,,fv_kwakwala_liqwala_kmw.kmn,,kwk,Is this correct?; missing ethnologuecodes
Kwak̕wala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kwk-und,kwk-und,BC Coast,fv_kwakwala.kmn,kwk,,fv_kwakwala_kmw.kmn,kwk,kwk,
Nəxʷsƛ̓ay̓əmúcən,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.clm,clm,BC Coast,,,*,fv_nexwslayemucen_kmw.kmn,,clm,
Nisg̱a'a,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.ncg,ncg,BC Coast,fv_nisgaa.kmn,,,fv_nisgaa_kmw.kmn,,ncg,Missing ethnologuecodes
Nuučaan̓uł,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.noo-nuu,noo-nuu,BC Coast,fv_nuucaanul.kmn,,,fv_nuucaanul_kmw.kmn,,noo,Missing ethnologuecodes
Nuxalk,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.blc,blc,BC Coast,,,*,fv_nuxalk_kmw.kmn,,blc,
SENĆOŦEN,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.str,str,BC Coast,fv_sencoten.kmn,,,fv_sencoten_kmw.kmn,,str,Missing ethnologuecodes
Shashishalhem,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sec,sec,BC Coast,fv_shashishalhem.kmn,,,fv_shashishalhem_kmw.kmn,,sec,Missing ethnologuecodes
Sḵwx̱wúmesh sníchim,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.sqa,sqa,BC Coast,,,*,fv_skwxwumesh_snichim_kmw.kmn,,sqa,
Sm'algya̱x,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.tsi,tsi,BC Coast,fv_smalgyax.kmn,,,fv_smalgyax_kmw.kmn,,tsi,Missing ethnologuecodes
X̄a'ʼislak̓ala,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.has,has,BC Coast,fv_xaislakala.kmn,,,fv_xaislakala_kmw.kmn,,has,Missing ethnologuecode
X̱aayda-X̱aad Kil,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.hax,hax,BC Coast,fv_hlgaagilda_xaayda_kil.kmn,,,fv_hlgaagilda_xaayda_kil_kmw.kmn,hax,hax,Missing ethnologuecode for desktop
Dakelh,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.caf,caf,BC Interior,fv_dakelh.kmn,crx,,fv_dakelh_kmw.kmn,crx,caf,"Added ethnologuecode from earlier version, may be incorrect"
Ktunaxa,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.kut,kut,BC Interior,fv_ktunaxa.kmn,,,fv_ktunaxa_kmw.kmn,,kut,Missing ethnologuecodes
Nedut’en-Witsuwit'en,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.bcr,bcr,BC Interior,fv_natwits.kmn,,,fv_natwits_kmw.kmn,,bcr,Missing ethnologuecodes
Nłeʔkepmxcin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.thp-ame,thp-ame,BC Interior,fv_nlekepmxcin.kmn,,,fv_nlekepmxcin_kmw.kmn,,thp,Missing ethnologuecodes
Nlha7kapmxtsin,http://www.languagegeek.com/fvwiki/pmwiki.php?n=Main.thp,thp,BC Interior,,,*,fv_nlha7kapmxtsin_kmw.kmn,,thp,
