0001,ar
0002,bg
0003,ca
0004,zh-Hans
0005,cs
0006,da
0007,de
0008,el
0009,en
000A,es
000B,fi
000C,fr
000D,he
000E,hu
000F,is
0010,it
0011,ja
0012,ko
0013,nl
0014,no
0015,pl
0016,pt
0017,rm
0018,ro
0019,ru
001A,hr
001B,sk
001C,sq
001D,sv
001E,th
001F,tr
0020,ur
0021,id
0022,uk
0023,be
0024,sl
0025,et
0026,lv
0027,lt
0028,tg
0029,fa
002A,vi
002B,hy
002C,az
002D,eu
002E,hsb
002F,mk
0030,st
0031,ts
0032,tn
0033,ve
0034,xh
0035,zu
0036,af
0037,ka
0038,fo
0039,hi
003A,mt
003B,se
003C,ga
003D,yi
003E,ms
003F,kk
0040,ky
0041,sw
0042,tk
0043,uz
0044,tt
0045,bn
0046,pa
0047,gu
0048,or
0049,ta
004A,te
004B,kn
004C,ml
004D,as
004E,mr
004F,sa
0050,mn
0051,bo
0052,cy
0053,km
0054,lo
0055,my
0056,gl
0057,kok
0058,mni
0059,sd
005A,syr
005B,si
005C,chr
005D,iu
005E,am
005F,tzm
0060,ks
0061,ne
0062,fy
0063,ps
0064,fil
0065,dv
0066,bin
0067,ff
0068,ha
0069,ibb
006A,yo
006B,quz
006C,nso
006D,ba
006E,lb
006F,kl
0070,ig
0071,kr
0072,om
0073,ti
0074,gn
0075,haw
0076,la
0077,so
0078,ii
0079,pap
007A,arn
007C,moh
007E,br
0080,ug
0081,mi
0082,oc
0083,co
0084,gsw
0085,sah
0086,quc
0087,rw
0088,wo
008C,prs
0091,gd
0092,ku
0401,ar-SA
0402,bg-BG
0403,ca-ES
0404,zh-TW
0405,cs-CZ
0406,da-DK
0407,de-DE
0408,el-GR
0409,en-US
040A,es-ES_tradnl
040B,fi-FI
040C,fr-FR
040D,he-IL
040E,hu-HU
040F,is-IS
0410,it-IT
0411,ja-JP
0412,ko-KR
0413,nl-NL
0414,nb-NO
0415,pl-PL
0416,pt-BR
0417,rm-CH
0418,ro-RO
0419,ru-RU
041A,hr-HR
041B,sk-SK
041C,sq-AL
041D,sv-SE
041E,th-TH
041F,tr-TR
0420,ur-PK
0421,id-ID
0422,uk-UA
0423,be-BY
0424,sl-SI
0425,et-EE
0426,lv-LV
0427,lt-LT
0428,tg-Cyrl-TJ
0429,fa-IR
042A,vi-VN
042B,hy-AM
042C,az-Latn-AZ
042D,eu-ES
042E,hsb-DE
042F,mk-MK
0430,st-ZA
